last_name; first_name;player_id;year;b_ab;b_home_run;b_strikeout;b_sac_fly;b_reached_on_error;sprint_speed;BIP;a_ROE
Torres; Gleyber;650402;2021;459;9;104;4;3;27;350;0.008571429
Diaz; Yandy;650490;2021;465;13;85;4;6;26.5;371;0.016172507
Chapman; Matt;656305;2021;529;27;202;9;1;28.1;309;0.003236246
Mullins II; Cedric;656775;2021;602;30;125;4;3;28.5;451;0.006651885
Smith; Pavin;656976;2021;498;11;106;1;1;26.5;382;0.002617801
Verdugo; Alex;657077;2021;544;13;96;5;1;27;440;0.002272727
Moncada; Yoan;660162;2021;520;14;157;2;1;27.7;351;0.002849003
Ohtani; Shohei;660271;2021;537;46;189;2;6;28.8;304;0.019736842
Riley; Austin;663586;2021;590;33;168;8;5;27.8;397;0.012594458
Mountcastle; Ryan;663624;2021;534;33;161;7;2;28.1;347;0.005763689
Tucker; Kyle;663656;2021;506;30;90;5;4;27.4;391;0.010230179
India; Jonathan;663697;2021;532;21;141;4;7;28.5;374;0.018716578
Grisham; Trent;663757;2021;462;15;119;4;3;28.8;332;0.009036145
Lowe; Nathaniel;663993;2021;557;18;162;3;5;27.3;380;0.013157895
Happ; Ian;664023;2021;465;25;156;1;4;27.7;285;0.014035088
France; Ty;664034;2021;571;18;106;6;6;25.3;453;0.013245033
Lowe; Brandon;664040;2021;535;39;167;3;3;27.6;332;0.009036145
Fletcher; David;664058;2021;626;2;60;1;2;27.7;565;0.003539823
Straw; Myles;664702;2021;564;4;121;4;8;29.3;443;0.018058691
Walsh; Jared;665120;2021;530;29;152;3;3;27;352;0.008522727
Tatis Jr.; Fernando;665487;2021;478;42;153;4;5;29.3;287;0.017421603
Guerrero Jr.; Vladimir;665489;2021;604;48;110;2;3;26.8;448;0.006696429
Soto; Juan;665742;2021;502;29;93;5;3;27;385;0.007792208
Chisholm Jr.; Jazz;665862;2021;464;18;145;3;5;29.1;304;0.016447368
Bichette; Bo;666182;2021;640;29;137;4;4;28;478;0.008368201
Carlson; Dylan;666185;2021;542;18;152;8;4;28;380;0.010526316
Garcia; Adolis;666969;2021;581;31;194;4;6;28.4;360;0.016666667
Gurriel Jr.; Lourdes;666971;2021;500;21;102;6;7;26.6;383;0.018276762
Arozarena; Randy;668227;2021;529;20;170;5;4;28.8;344;0.011627907
Reynolds; Bryan;668804;2021;559;24;119;4;5;28.7;420;0.011904762
Rojas; Josh;668942;2021;484;11;137;3;4;27.6;339;0.01179941
Edman; Tommy;669242;2021;641;11;95;4;7;28.9;539;0.012987013
Solak; Nick;669256;2021;458;11;107;2;5;29;342;0.014619883
Hays; Austin;669720;2021;488;22;107;1;3;27.4;360;0.008333333
Lopez; Nicky;670032;2021;497;2;74;3;2;28.2;424;0.004716981
Alvarez; Yordan;670541;2021;537;33;145;3;1;26.3;362;0.002762431
Cabrera; Miguel;408234;2020;204;10;51;2;0;23.1;145;0
Cruz Jr.; Nelson;443558;2020;185;16;58;0;1;25.2;111;0.009009009
Peralta; David;444482;2020;203;5;45;2;0;27;155;0
Longoria; Evan;446334;2020;193;7;39;3;0;26.6;150;0
Cabrera; Asdrubal;452678;2020;190;8;40;4;1;24.8;146;0.006849315
Blackmon; Charlie;453568;2020;221;6;44;5;3;26.8;176;0.017045455
Solano; Donovan;456781;2020;190;3;39;1;3;26.6;149;0.020134228
McCutchen; Andrew;457705;2020;217;10;48;1;2;27.4;160;0.0125
Votto; Joey;458015;2020;186;11;43;0;1;25.2;132;0.007575758
Santana; Carlos;467793;2020;206;8;43;1;1;25.5;156;0.006410256
Brantley Jr.; Michael;488726;2020;170;5;28;0;2;26.2;137;0.01459854
Gurriel; Yuli;493329;2020;211;6;27;5;2;27.3;183;0.010928962
Escobar; Eduardo;500871;2020;203;4;41;2;0;28;160;0
Martinez; J.D.;502110;2020;211;7;59;2;2;25.9;147;0.013605442
Reddick; Josh;502210;2020;188;4;42;1;0;26.2;143;0
Goldschmidt; Paul;502671;2020;191;6;43;1;0;26.4;143;0
Gonzalez; Marwin;503556;2020;175;5;41;4;0;25.5;133;0
